"codigo";"denominacion_generica_es";"denominacion_generica_val";"denominacion_especifica";"denominacion";"regimen";"tipo_via";"direccion";"numero";"codigo_postal";"localidad";"provincia";"telefono";"fax";cod_edificacion;longitud;latitud;"titular";"cif";"comarca";"url_es";"url_va";fe_constitucion
"03000451";"CENTRO PRIVADO DE EDUCACIÓN INFANTIL";"CENTRE PRIVAT D'EDUCACIÓ INFANTIL";"CENTRE PRIV. ED. INFANTIL EL SALVADOR";"CENTRE PRIV. ED. INFANTIL EL SALVADOR";"PRIV.";"CARRER";"ENTENZA";"78";"03803";"ALCOI";"ALICANTE/ALACANT";"965336867";"965336867";1;-0.477031;38.703978;"ARQUEBISBAT DE VALENCIA";"R0300353J";"L'ALCOIÀ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000451";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000451";
"03000473";"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA";"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA";"CENTRE PRIVAT SANT ROC";"CENTRE PRIVAT SANT ROC";"PRIV. CONC.";"CARRER";"ESPRONCEDA";"1";"03803";"ALCOI";"ALICANTE/ALACANT";"965331560";"966331836";1;-0.481553;38.698557;"PARROQUIA DE SAN ROQUE Y SAN SEBASTIÁN DE ALCOY.";"R0300049D";"L'ALCOIÀ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000473";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000473";
"03000485";"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA";"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA";"CENTRE PRIVAT SAN VICENTE FERRER";"CENTRE PRIVAT SAN VICENTE FERRER";"PRIV. CONC.";"PLAÇA";"MOSSÉN JOSEP";"1";"03801";"ALCOI";"ALICANTE/ALACANT";"965540866";"965546063";1;-0.47606;38.693842;"CASA SALESIANA DE SAN VICENTE FERRER(C.SALESIANO S.V.FERRER)";"R0300265F";"L'ALCOIÀ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000485";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000485";
"03000497";"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA";"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA";"CENTRE PRIVAT SAN VICENTE DE PAÚL";"CENTRE PRIVAT SAN VICENTE DE PAÚL";"PRIV. CONC.";"CARRER";"LA MILAGROSA";"1";"03802";"ALCOI";"ALICANTE/ALACANT";"965331878";"965332748";1;-0.487953;38.697443;"FUNDACIÓN SAN JORGE DE ALCOY";"G98949498";"L'ALCOIÀ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000497";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000497";
"03000503";"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA";"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA";"CENTRE PRIVAT SANTA ANA";"CENTRE PRIVAT SANTA ANA";"PRIV. CONC.";"CARRER";"ISABEL II";"5";"03802";"ALCOI";"ALICANTE/ALACANT";"965332228";"965330670";1;-0.481188;38.693344;"PARROQUIA SANTA ROSA D'ALCOI";"R0300396I";"L'ALCOIÀ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000503";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000503";
"03000588";"COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA";"COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA";"CEIP SANTÍSIMO CRISTO BUEN ACIERTO";"CEIP SANTÍSIMO CRISTO BUEN ACIERTO";"PÚB.";"CARRER";"CAMÍ DE LA MAR";"21";"03580";"ALFÀS DEL PI (L')";"ALICANTE/ALACANT";"966870740";;1;-0.097102;38.57893;"GENERALITAT VALENCIANA";"Q5355160B";"LA MARINA BAIXA";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000588";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000588";
"03000591";"COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA";"COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA";"CEIP MIGUEL DE CERVANTES";"CEIP MIGUEL DE CERVANTES";"PÚB.";"CARRER";"MIGUEL HERNÁNDEZ";"1-3";"03169";"ALGORFA";"ALICANTE/ALACANT";"965290135";;1;-0.795148;38.08596;"GENERALITAT VALENCIANA";"Q5355159D";"EL BAIX SEGURA/LA VEGA BAJA";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000591";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000591";
"03000606";"COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA";"COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA";"CEIP VIRGEN DEL REMEDIO";"CEIP VIRGEN DEL REMEDIO";"PÚB.";"PASSEIG";"DE LA LIBERTAD";"S/N";"03668";"ALGUEÑA";"ALICANTE/ALACANT";"966957345";;1;-1.00539;38.337071;"GENERALITAT VALENCIANA";"Q5355158F";"EL VINALOPÓ MITJÀ/EL VINALOPÓ MEDIO";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000606";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000606";
"03000679";"INSTITUTO DE EDUCACIÓN SECUNDARIA";"INSTITUT D'EDUCACIÓ SECUNDÀRIA";"IES JAIME II";"IES JAIME II";"PÚB.";"CARRER";"DOCTOR CRISTÓBAL PARDO";"4";"03015";"ALACANT";"ALICANTE/ALACANT";"965936465";;1;-0.470363;38.362228;"GENERALITAT VALENCIANA";"Q5355572H";"L'ALACANTÍ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000679";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000679";
"03000692";"COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA";"COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA";"CEIP EUSEBIO SEMPERE";"CEIP EUSEBIO SEMPERE";"PÚB.";"CARRER";"ISIDORO DE SEVILLA";"2";"03009";"ALACANT";"ALICANTE/ALACANT";"965936210";;1;-0.503569;38.370572;"GENERALITAT VALENCIANA";"Q5355577G";"L'ALACANTÍ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000692";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000692";
"03000709";"COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA";"COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA";"CEIP MANJÓN-CERVANTES";"CEIP MANJÓN-CERVANTES";"PÚB.";"CARRER";"MONTERO RÍOS";"2";"03012";"ALACANT";"ALICANTE/ALACANT";"965932515";;1;-0.482196;38.35745;"GENERALITAT VALENCIANA";"Q5355010I";"L'ALACANTÍ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000709";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000709";
"03000710";"COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA";"COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA";"CEIP SAN ROQUE";"CEIP SAN ROQUE";"PÚB.";"CARRER";"VILLAVIEJA";"S/N";"03002";"ALACANT";"ALICANTE/ALACANT";"965937045";;1;-0.47826;38.346721;"GENERALITAT VALENCIANA";"Q5355542A";"L'ALACANTÍ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000710";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000710";
"03000722";"COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA";"COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA";"CEIP 9 D'OCTUBRE";"CEIP 9 D'OCTUBRE";"PÚB.";"CARRER";"PINOSO";"27";"03012";"ALACANT";"ALICANTE/ALACANT";"965919020";;1;-0.480952;38.359595;"GENERALITAT VALENCIANA";"Q5355187E";"L'ALACANTÍ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000722";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000722";
"03000734";"COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA";"COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA";"CEIP BENALÚA";"CEIP BENALÚA";"PÚB.";"CARRER";"DOCTOR JUST";"70";"03007";"ALACANT";"ALICANTE/ALACANT";"965919040";;1;-0.497166;38.338719;"GENERALITAT VALENCIANA";"Q5355053I";"L'ALACANTÍ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000734";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000734";
"03000758";"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA";"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA";"CENTRE PRIVAT NUESTRA SEÑORA DE LOS ÁNGELES";"CENTRE PRIVAT NUESTRA SEÑORA DE LOS ÁNGELES";"PRIV. CONC.";"CARRER";"PARDO BAZÁN";"8";"03010";"ALACANT";"ALICANTE/ALACANT";"965170417";"965170417";1;-0.494949;38.366174;"PARROQUIA NUESTRA SEÑORA DE LOS ÁNGELES DE ALICANTE";"R0300113H";"L'ALACANTÍ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000758";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000758";
"03000813";"CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA";"CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA";"CENTRE PRIVAT VIRGEN DEL ROSARIO";"CENTRE PRIVAT VIRGEN DEL ROSARIO";"PRIV. CONC.";"PLAÇA";"FLORIDA-PORTAZGO";"6";"03006";"ALACANT";"ALICANTE/ALACANT";"965110152";"965106401";1;-0.509212;38.346276;"PARROQUIA NUESTRA SEÑORA DEL ROSARIO DE ALICANTE";"R0300047H";"L'ALACANTÍ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000813";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000813";
"03000849";"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA";"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA";"CENTRE PRIVAT INMACULADA";"CENTRE PRIVAT INMACULADA";"PRIV. CONC.";"AVINGUDA";"DE DÉNIA";"98";"03016";"ALACANT";"ALICANTE/ALACANT";"965268144";"965225113";1;-0.464536;38.361318;"FUNDACIÓN EDUCATIVA JESUITAS CENTRO ESTE";"G56797764";"L'ALACANTÍ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000849";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000849";
"03000904";"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA";"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA";"CENTRE PRIVAT CEU JESÚS MARÍA";"CENTRE PRIVAT CEU JESÚS MARÍA";"PRIV. CONC.";"CARRER";"DEPORTISTA ALEJANDRA QUEREDA";"15";"03016";"ALACANT";"ALICANTE/ALACANT";"965261400";"965261533";1;-0.45383;38.371102;"FUNDACIÓN UNIVERSITARIA SAN PABLO-CEU";"G28423275";"L'ALACANTÍ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000904";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000904";
"03000931";"CENTRO PRIVADO DE EDUCACIÓN INFANTIL DE PRIMER CICLO";"CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE";"CENTRE PRIV. ED. INF. 1ER CICLE CIUDAD INFANTIL SAN JORGE";"CENTRE PRIV. ED. INF. 1ER CICLE CIUDAD INFANTIL SAN JORGE";"PRIV.";"AVINGUDA";"DEL DOCTOR RICO";"15";"03005";"ALACANT";"ALICANTE/ALACANT";"965927661";"965227547";1;-0.498204;38.35384;"CIUDAD INFANTIL SAN JORGE, SL";"B53329322";"L'ALACANTÍ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000931";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000931";
"03000965";"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA";"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA";"CENTRE PRIVAT MARÍA AUXILIADORA";"CENTRE PRIVAT MARÍA AUXILIADORA";"PRIV. CONC.";"CARRER";"ISLA DE CORFÚ";"7";"03005";"ALACANT";"ALICANTE/ALACANT";"965921008";;1;-0.50756;38.357399;"HIJAS DE MARÍA AUXILIADORA-SALESIANAS S.JUAN BOSCO";"R0300324A";"L'ALACANTÍ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000965";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000965";
"03000989";"CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA";"CENTRE PRIVAT D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA";"CENTRE PRIVAT NAZARET";"CENTRE PRIVAT NAZARET";"PRIV. CONC.";"CARRER";"CALPE";"S/N";"03005";"ALACANT";"ALICANTE/ALACANT";"965171815";"965181150";1;-0.49811;38.359687;"COMPAÑÍA DE JESÚS";"R0300035C";"L'ALACANTÍ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000989";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000989";
"03001003";"CENTRO DOCENTE PRIVADO EXTRANJERO";"CENTRE DOCENT PRIVAT ESTRANGER";"CENTRE ESTRANGER LYCÉE FRANÇAIS D'ALICANTE PIERRE DESCHAMPS";"CENTRE ESTRANGER LYCÉE FRANÇAIS D'ALICANTE PIERRE DESCHAMPS";"PRIV.";"CAMÍ";"DE MARCO";"21";"03560";"CAMPELLO (EL)";"ALICANTE/ALACANT";"965262508";"965659938";1;-0.412695;38.401394;"MISSION LAÏQUE FRANÇAISE";"G0011458G";"L'ALACANTÍ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03001003";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03001003";
"03001039";"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA";"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA";"CENTRE PRIVAT SANTA MARÍA DEL CARMEN";"CENTRE PRIVAT SANTA MARÍA DEL CARMEN";"PRIV. CONC.";"CARRER";"MADRE ELISEA OLIVER";"2";"03005";"ALACANT";"ALICANTE/ALACANT";"965174767";"965175040";1;-0.501422;38.36236;"HERMANAS DE LA VIRGEN MARÍA DEL MONTE CARMELO";"R0300287J";"L'ALACANTÍ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03001039";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03001039";
"03001088";"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA";"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA";"CENTRE PRIVAT NUESTRA SEÑORA DEL REMEDIO";"CENTRE PRIVAT NUESTRA SEÑORA DEL REMEDIO";"PRIV. CONC.";"PASSEIG";"DE CAMPOAMOR";"4";"03010";"ALACANT";"ALICANTE/ALACANT";"965246990";"965257124";1;-0.486107;38.353432;"ASILO ESCUELA DE NUESTRA SEÑORA DEL REMEDIO.";"G03104593";"L'ALACANTÍ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03001088";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03001088";
"03001121";"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA";"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA";"CENTRE PRIVAT LA PURÍSIMA Y SAN FRANCISCO";"CENTRE PRIVAT LA PURÍSIMA Y SAN FRANCISCO";"PRIV. CONC.";"CARRER";"PADRE RECAREDO DE LOS RÍOS";"53";"03005";"ALACANT";"ALICANTE/ALACANT";"965132519";"965228215";1;-0.503515;38.348644;"RELIGIOSAS FRANCISCANAS DE LA PURÍSIMA";"R0300277A";"L'ALACANTÍ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03001121";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03001121";
"03001143";"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA";"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA";"CENTRE PRIVAT SAGRADA FAMILIA";"CENTRE PRIVAT SAGRADA FAMILIA";"PRIV. CONC.";"CARRER";"FRANCISCO CARRATALÁ CERNUDA";"13";"03010";"ALACANT";"ALICANTE/ALACANT";"965252875";"965240562";1;-0.486397;38.357197;"RR. SIERVAS DE SAN JOSÉ";"R0300294F";"L'ALACANTÍ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03001143";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03001143";
